questions,scenarios,answers
"q41 You prefer talking to people on the phone over texting or messaging them. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q42 When someone has a different perspective on a subject than you, you genuinely try to understand where they’re coming from. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q43 You find that telling the cold, hard truth is more important than being tactful. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q44 You’re happy to go with the flow when your plans are interrupted. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q45 Mistakes you made in the past often haunt your mind. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q46 You feel energized after spending time alone, engaging in solitary activities like reading or reflecting. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q47 You prefer to rely on your instincts rather than sticking strictly to a set plan or schedule. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q48 You often find yourself deeply contemplating the underlying meanings and implications of things rather than focusing solely on the surface details. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q49 When making decisions, you prioritize logic and objective analysis over considering how it might impact others' feelings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q50 You often find yourself worrying about potential future outcomes or what could go wrong in a given situation, even if things seem to be going well at the moment. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q51 You often find yourself drawn to new experiences and enjoy exploring unfamiliar places or trying out new activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q52 You tend to trust your gut feelings and intuition when faced with difficult decisions rather than relying solely on logical analysis. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q53 You feel a strong sense of empathy towards others and are often affected by their emotions, even if they don't directly involve you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q54 You prefer to have a well-structured plan in place rather than leaving things up to chance or improvisation. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q55 You thrive in dynamic, fast-paced environments and feel invigorated by challenging situations that require quick thinking and adaptability. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q56 When faced with a problem, you're more inclined to seek out practical solutions rather than dwelling on abstract theories or hypothetical scenarios. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q57 You enjoy engaging in deep, meaningful conversations with others, exploring complex ideas and exchanging perspectives. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q58 You often find yourself reflecting on past experiences and considering how they've shaped your beliefs and values. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q59 You're inclined to take charge in group settings, assuming leadership roles and guiding others towards achieving common goals. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q60 You feel most comfortable when your environment is organized and structured, and you may feel stressed or unsettled in chaotic or unpredictable situations. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q61 You prefer spending time with a small group of close friends rather than attending large social gatherings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q62 When presented with multiple options, you tend to follow your heart and make decisions based on what feels right in the moment. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q63 You enjoy exploring new ideas and concepts, often seeking out opportunities to expand your knowledge and understanding of the world. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q64 You find it easy to adapt to changes in plans or unexpected situations, often seeing them as opportunities for growth and learning. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q65 When working on a project, you value efficiency and strive to complete tasks quickly and effectively. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q66 You often seek out opportunities to challenge yourself and push your limits, whether it's through physical activities or intellectual pursuits. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q67 You prefer to focus on the present moment rather than dwelling on past regrets or worrying about future uncertainties. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q68 You enjoy engaging in lively debates and discussions, sharing your opinions and perspectives with others while also listening to differing viewpoints. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q69 You have a strong desire for structure and order in your daily life, feeling most at ease when following a clear routine or schedule. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q70 You tend to be proactive in seeking out new experiences and opportunities, embracing change as a natural part of life. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q71 You feel energized and excited by social interactions, often seeking out opportunities to meet new people and engage in group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q72 When making decisions, you prioritize logical reasoning and objective analysis, considering the facts and evidence before reaching a conclusion. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q73 You tend to be highly self-critical and introspective, frequently reflecting on your actions and decisions, and striving for self-improvement. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q74 You often find yourself empathizing with others' emotions, even if you haven't experienced the same situation yourself, and strive to offer support and understanding. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q75 You prefer to have a clear plan and direction in life, setting specific goals and working diligently to achieve them. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q76 Accroding to the answers above, which MBTI you are under the 16 MBTI personality group? (answer in sentences)",,"Based on your questionnaire answers, your MBTI personality type is most likely **ENFP** (Extraverted, Intuitive, Feeling, Perceiving).

Here is the reasoning:  
- **Extraversion (E):** Your high scores in sociability and large social circle indicate a preference for drawing energy from the outside world and interactions with others.  
- **Intuition (N):** Your tendency to make decisions based on intuition, along with imaginative thinking, suggests a focus on patterns, possibilities, and future-oriented ideas rather than concrete details.  
- **Feeling (F):** Emotional sensitivity, empathy, and values-driven decision-making—reflected in your emotional awareness and social adaptability—point toward a Feeling preference.  
- **Perceiving (P):** High adaptability, flexibility, and a spontaneous, open-ended approach to life align with the Perceiving trait, as opposed to a structured, planned lifestyle.  

Your noted struggles with low self-esteem and emotional instability are consistent with common ENFP challenges, as this type often experiences deep emotional fluctuations and seeks authenticity in a world that can feel restrictive. Your intuitive and adaptable nature helps you navigate social complexities while staying open to new experiences."
