question,scenario,answer,source_file
"q65 When working on a project, you value efficiency and strive to complete tasks quickly and effectively. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q1
"q66 You often seek out opportunities to challenge yourself and push your limits, whether it's through physical activities or intellectual pursuits. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q1
"q67 You prefer to focus on the present moment rather than dwelling on past regrets or worrying about future uncertainties. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q1
"q68 You enjoy engaging in lively debates and discussions, sharing your opinions and perspectives with others while also listening to differing viewpoints. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q1
"q69 You have a strong desire for structure and order in your daily life, feeling most at ease when following a clear routine or schedule. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q1
"q70 You tend to be proactive in seeking out new experiences and opportunities, embracing change as a natural part of life. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q1
"q71 You feel energized and excited by social interactions, often seeking out opportunities to meet new people and engage in group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q1
"q72 When making decisions, you prioritize logical reasoning and objective analysis, considering the facts and evidence before reaching a conclusion. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q1
"q73 You tend to be highly self-critical and introspective, frequently reflecting on your actions and decisions, and striving for self-improvement. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q1
"q74 You often find yourself empathizing with others' emotions, even if you haven't experienced the same situation yourself, and strive to offer support and understanding. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q1
"q75 You prefer to have a clear plan and direction in life, setting specific goals and working diligently to achieve them. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q1
"q76 Accroding to the answers above, which MBTI you are under the 16 MBTI personality group? (answer in sentences)",,"Based on my answers, I am an **ESFJ** personality type, which stands for Extraverted, Sensing, Feeling, and Judging.  

I got this result because my answers show that I really enjoy being around people and making friends (Extraverted), I pay close attention to details and like to stay organized in school and activities (Sensing), I care a lot about others’ feelings and try to be kind and helpful (Feeling), and I like having a plan and keeping things neat and on schedule (Judging).  

This matches how I see myself—someone who is friendly, responsible, and always trying to make others happy!",answer_q1
"q1 You find it easy to make new friends. Please select one using the 5-point scale (5: most agree, 1: most disagree)","You are a secondary school student who has just finished the DSE exams and is close to graduation. During taking a rest after exams but feel worried about the future, has no clear planning, often overthinks and questions themselves, yet remains social with friends.",4,answer_q2
"q2 You could spend days learning about random things that interest you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q3 When others are upset, you feel upset too. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q4 You aren’t one for backup plans. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q2
"q5 You stay cool, calm and collected even when under lots of stress. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q2
"q6 When out and about, you don’t really introduce yourself to new people - you prefer to chat with people you already know. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q7 You don’t like to start a new project until the first one’s finished. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q8 You’re a sentimental type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q9 You enjoy using lists or schedules. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q10 Making a small mistake can make you question your knowledge on a subject. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q11 You easily spark up a conversation with a stranger. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q12 You love talking about and analysing creative works. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q13 You follow your heart more than your head. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q14 You tend to prefer following a daily routine as opposed to just doing whatever you want. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q15 When you meet new people, you worry about whether you made a great first impression. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q16 You prefer solo activities over group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q17 You love watching movies that let you interpret the ending yourself. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q18 You get more happiness from achieving things yourself than you do from helping others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q19 You aren’t interested in very many things. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q20 You often worry about the worst possible scenario in any given situation. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q21 You love taking up leadership roles. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q22 You’re an artistic type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q23 The world would be better off if people made more decisions with their feelings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q24 You prefer to relax before getting into chores. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q25 You don’t mind when other people are having a heated argument in front of you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q26 You like being the centre of attention. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q27 Your mood is generally pretty stable. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q28 You have plenty of patience for people that aren’t as efficient as you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q29 You’re spontaneous. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q30 You have always been fascinated by the question of what, if anything, happens after death. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q31 You prefer to be on your own rather than with others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q2
"q32 You love theoretical discussions and could engage in them for days on end. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q33 You have a hard time empathizing with people who come from a very different lifestyle to your own. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q34 When there’s a decision to be made, you want to make it right away. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q35 You tend to second-guess the decisions you make. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q36 Socialising quickly exhausts you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q37 You enjoy going to art museums. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q38 You struggle to understand what others are feeling. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q39 You like to have a to-do list for each day. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q40 You often feel insecure. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q41 You prefer talking to people on the phone over texting or messaging them. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q42 When someone has a different perspective on a subject than you, you genuinely try to understand where they’re coming from. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q43 You find that telling the cold, hard truth is more important than being tactful. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q44 You’re happy to go with the flow when your plans are interrupted. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q45 Mistakes you made in the past often haunt your mind. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q46 You feel energized after spending time alone, engaging in solitary activities like reading or reflecting. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q47 You prefer to rely on your instincts rather than sticking strictly to a set plan or schedule. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q48 You often find yourself deeply contemplating the underlying meanings and implications of things rather than focusing solely on the surface details. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q49 When making decisions, you prioritize logic and objective analysis over considering how it might impact others' feelings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q50 You often find yourself worrying about potential future outcomes or what could go wrong in a given situation, even if things seem to be going well at the moment. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q51 You often find yourself drawn to new experiences and enjoy exploring unfamiliar places or trying out new activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q52 You tend to trust your gut feelings and intuition when faced with difficult decisions rather than relying solely on logical analysis. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q53 You feel a strong sense of empathy towards others and are often affected by their emotions, even if they don't directly involve you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q54 You prefer to have a well-structured plan in place rather than leaving things up to chance or improvisation. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q55 You thrive in dynamic, fast-paced environments and feel invigorated by challenging situations that require quick thinking and adaptability. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q56 When faced with a problem, you're more inclined to seek out practical solutions rather than dwelling on abstract theories or hypothetical scenarios. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q57 You enjoy engaging in deep, meaningful conversations with others, exploring complex ideas and exchanging perspectives. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q58 You often find yourself reflecting on past experiences and considering how they've shaped your beliefs and values. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q59 You're inclined to take charge in group settings, assuming leadership roles and guiding others towards achieving common goals. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q60 You feel most comfortable when your environment is organized and structured, and you may feel stressed or unsettled in chaotic or unpredictable situations. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q61 You prefer spending time with a small group of close friends rather than attending large social gatherings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q62 When presented with multiple options, you tend to follow your heart and make decisions based on what feels right in the moment. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q63 You enjoy exploring new ideas and concepts, often seeking out opportunities to expand your knowledge and understanding of the world. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q64 You find it easy to adapt to changes in plans or unexpected situations, often seeing them as opportunities for growth and learning. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q65 When working on a project, you value efficiency and strive to complete tasks quickly and effectively. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q66 You often seek out opportunities to challenge yourself and push your limits, whether it's through physical activities or intellectual pursuits. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q67 You prefer to focus on the present moment rather than dwelling on past regrets or worrying about future uncertainties. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q68 You enjoy engaging in lively debates and discussions, sharing your opinions and perspectives with others while also listening to differing viewpoints. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q69 You have a strong desire for structure and order in your daily life, feeling most at ease when following a clear routine or schedule. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q70 You tend to be proactive in seeking out new experiences and opportunities, embracing change as a natural part of life. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q71 You feel energized and excited by social interactions, often seeking out opportunities to meet new people and engage in group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q72 When making decisions, you prioritize logical reasoning and objective analysis, considering the facts and evidence before reaching a conclusion. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q73 You tend to be highly self-critical and introspective, frequently reflecting on your actions and decisions, and striving for self-improvement. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q74 You often find yourself empathizing with others' emotions, even if you haven't experienced the same situation yourself, and strive to offer support and understanding. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q2
"q75 You prefer to have a clear plan and direction in life, setting specific goals and working diligently to achieve them. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q2
"q76 Accroding to the answers above, which MBTI you are under the 16 MBTI personality group? (answer in sentences)",,"Based on your questionnaire answers, which show a strong tendency toward thoughtfulness, introspection, and social engagement, your MBTI personality type is likely **ENFJ** (Extraverted, Intuitive, Feeling, Judging).  

Your responses indicate a preference for extraversion through your active social life and comfort in group settings, while your pattern of overthinking and future-oriented worry aligns with intuitive (N) and feeling (F) traits—focusing on possibilities, meanings, and personal values. The moderate to high consistency in answers suggesting structure, planning concern, and decisiveness (despite current uncertainty) points toward a judging (J) orientation. ENFJs are often described as empathetic, organized, and future-focused individuals who care deeply about others and seek harmony, which matches your described balance of social engagement with introspective worry about what comes next.",answer_q2
"q1 You find it easy to make new friends. Please select one using the 5-point scale (5: most agree, 1: most disagree)","You are a university graduate who struggles with low self-esteem and emotional instability. You often feel weighed down by the realities of life, yet you maintain a large social circle. Your decisions are guided more by intuition than logic, and you have a vivid imagination that helps you adapt quickly to changing circumstances. Despite your adaptability, you remain sensitive to uncertainty and self-doubt, which shapes how you interact with others and perceive your future.",5,answer_q3
"q2 You could spend days learning about random things that interest you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q3 When others are upset, you feel upset too. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q4 You aren’t one for backup plans. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q5 You stay cool, calm and collected even when under lots of stress. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q6 When out and about, you don’t really introduce yourself to new people - you prefer to chat with people you already know. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q7 You don’t like to start a new project until the first one’s finished. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q8 You’re a sentimental type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q9 You enjoy using lists or schedules. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q10 Making a small mistake can make you question your knowledge on a subject. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q11 You easily spark up a conversation with a stranger. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q12 You love talking about and analysing creative works. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q13 You follow your heart more than your head. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q14 You tend to prefer following a daily routine as opposed to just doing whatever you want. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q15 When you meet new people, you worry about whether you made a great first impression. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q16 You prefer solo activities over group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q17 You love watching movies that let you interpret the ending yourself. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q18 You get more happiness from achieving things yourself than you do from helping others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q19 You aren’t interested in very many things. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q20 You often worry about the worst possible scenario in any given situation. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q21 You love taking up leadership roles. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q22 You’re an artistic type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q23 The world would be better off if people made more decisions with their feelings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q24 You prefer to relax before getting into chores. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q25 You don’t mind when other people are having a heated argument in front of you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q26 You like being the centre of attention. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q27 Your mood is generally pretty stable. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,1,answer_q3
"q28 You have plenty of patience for people that aren’t as efficient as you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q29 You’re spontaneous. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q30 You have always been fascinated by the question of what, if anything, happens after death. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q31 You prefer to be on your own rather than with others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q32 You love theoretical discussions and could engage in them for days on end. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q33 You have a hard time empathizing with people who come from a very different lifestyle to your own. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q34 When there’s a decision to be made, you want to make it right away. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q35 You tend to second-guess the decisions you make. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q36 Socialising quickly exhausts you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q37 You enjoy going to art museums. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q38 You struggle to understand what others are feeling. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q39 You like to have a to-do list for each day. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q40 You often feel insecure. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q41 You prefer talking to people on the phone over texting or messaging them. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q42 When someone has a different perspective on a subject than you, you genuinely try to understand where they’re coming from. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q43 You find that telling the cold, hard truth is more important than being tactful. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3,answer_q3
"q44 You’re happy to go with the flow when your plans are interrupted. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q45 Mistakes you made in the past often haunt your mind. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q46 You feel energized after spending time alone, engaging in solitary activities like reading or reflecting. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q47 You prefer to rely on your instincts rather than sticking strictly to a set plan or schedule. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q48 You often find yourself deeply contemplating the underlying meanings and implications of things rather than focusing solely on the surface details. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q49 When making decisions, you prioritize logic and objective analysis over considering how it might impact others' feelings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2,answer_q3
"q50 You often find yourself worrying about potential future outcomes or what could go wrong in a given situation, even if things seem to be going well at the moment. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4,answer_q3
"q51 You often find yourself drawn to new experiences and enjoy exploring unfamiliar places or trying out new activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
"q52 You tend to trust your gut feelings and intuition when faced with difficult decisions rather than relying solely on logical analysis. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5,answer_q3
